journal_id,line_number,post_date,period,fiscal_year,gl_account,department,project,debit_amount,credit_amount,description,reference,source,document_type,status,reversal_flag,reversal_journal,created_date,updated_date,updated_time,updated_by,batch_session
1000023,1,2024-02-29,202402,2024,1200,0000,,6430.06,,ice 1000023                                   1000,023             ARIN,VP,N,,,1240,,,,H        4,19739
1000023,2,2024-02-29,202402,2024,4100,0000,,0.0,,ice 1000023                                   1000,023             ARIN,VP,N,,,1240,,2029-04-15,,H        4,19739
1000024,1,2023-02-06,202302,2023,1200,0000,,1162.41,,ice 1000024                                   1000,024             ARIN,VP,N,,,1230,2006-12-30,,,H        7,56190
1000024,2,2023-02-06,202302,2023,4100,0000,,0.0,,ice 1000024                                   1000,024             ARIN,VP,N,,,1230,2006-12-30,2006-10-29,,H        7,56190
1000025,1,2024-12-02,202412,2024,1200,0000,,973.08,,ice 1000025                                   1000,025             ARIN,VP,N,,,1241,,2002-01-03,,H        5,11929
1000025,2,2024-12-02,202412,2024,4100,0000,,0.0,,ice 1000025                                   1000,025             ARIN,VP,N,,,1241,,,,H        5,11929
1000026,1,2024-12-06,202412,2024,1200,0000,,11992.51,,ice 1000026                                   1000,026             ARIN,VP,N,,,1241,,2006-10-08,,H        5,37605
1000026,2,2024-12-06,202412,2024,4100,0000,,0.0,,ice 1000026                                   1000,026             ARIN,VP,N,,,1241,,2006-07-30,,H        5,37605
1000027,1,2024-03-21,202403,2024,1200,0000,,6418.63,,ice 1000027                                   1000,027             ARIN,VP,N,,,1240,,,,H        2,45308
1000027,2,2024-03-21,202403,2024,4100,0000,,0.0,,ice 1000027                                   1000,027             ARIN,VP,N,,,1240,,,,H        2,45308
1000028,1,2024-11-25,202411,2024,1200,0000,,1299.31,,ice 1000028                                   1000,028             ARIN,VP,N,,,1241,,2025-09-22,,H        4,32918
1000028,2,2024-11-25,202411,2024,4100,0000,,0.0,,ice 1000028                                   1000,028             ARIN,VP,N,,,1241,,,,H        4,32918
1000029,1,2023-12-15,202312,2023,1200,0000,,658.68,,ice 1000029                                   1000,029             ARIN,VP,N,,,1231,2015-12-31,2015-05-12,,H        5,31228
1000029,2,2023-12-15,202312,2023,4100,0000,,0.0,,ice 1000029                                   1000,029             ARIN,VP,N,,,1231,2015-12-31,2015-01-15,,H        5,31228
1000030,1,2024-10-30,202410,2024,1200,0000,,5546.04,,ice 1000030                                   1000,030             ARIN,VP,N,,,1241,,,,H        1,27470
1000030,2,2024-10-30,202410,2024,4100,0000,,0.0,,ice 1000030                                   1000,030             ARIN,VP,N,,,1241,,,,H        1,27470
1000031,1,2023-05-07,202305,2023,1200,0000,,2096.55,,ice 1000031                                   1000,031             ARIN,VP,N,,,1230,2007-12-30,,,H        1,27351
1000031,2,2023-05-07,202305,2023,4100,0000,,0.0,,ice 1000031                                   1000,031             ARIN,VP,N,,,1230,2007-12-30,,,H        1,27351
1000032,1,2023-05-27,202305,2023,1200,0000,,369.81,,ice 1000032                                   1000,032             ARIN,VP,N,,,1230,2027-12-30,,,H        2,44192
1000032,2,2023-05-27,202305,2023,4100,0000,,0.0,,ice 1000032                                   1000,032             ARIN,VP,N,,,1230,2027-12-30,2027-02-10,,H        2,44192
1000033,1,2023-10-21,202310,2023,1200,0000,,276.31,,ice 1000033                                   1000,033             ARIN,VP,N,,,1231,1921-12-31,,,H        3,12686
1000033,2,2023-10-21,202310,2023,4100,0000,,0.0,,ice 1000033                                   1000,033             ARIN,VP,N,,,1231,1921-12-31,,,H        3,12686
1000034,1,2024-12-15,202412,2024,1200,0000,,2935.3,,ice 1000034                                   1000,034             ARIN,VP,N,,,1241,,,,H        3,58771
1000034,2,2024-12-15,202412,2024,4100,0000,,0.0,,ice 1000034                                   1000,034             ARIN,VP,N,,,1241,,,,H        3,58771
1000035,1,2024-06-29,202406,2024,1200,0000,,4701.26,,ice 1000035                                   1000,035             ARIN,VP,N,,,1240,,,,H        6,62203
1000035,2,2024-06-29,202406,2024,4100,0000,,0.0,,ice 1000035                                   1000,035             ARIN,VP,N,,,1240,,,,H        6,62203
1000036,1,2024-09-27,202409,2024,1200,0000,,36247.04,,ice 1000036                                   1000,036             ARIN,VP,N,,,1240,,,,H        6,43899
1000036,2,2024-09-27,202409,2024,4100,0000,,0.0,,ice 1000036                                   1000,036             ARIN,VP,N,,,1240,,,,H        6,43899
1000037,1,2024-01-13,202401,2024,1200,0000,,979.15,,ice 1000037                                   1000,037             ARIN,VP,N,,,1240,,,,H        5,17375
1000037,2,2024-01-13,202401,2024,4100,0000,,0.0,,ice 1000037                                   1000,037             ARIN,VP,N,,,1240,,2013-07-20,,H        5,17375
1000038,1,2024-02-01,202402,2024,1200,0000,,4050.6,,ice 1000038                                   1000,038             ARIN,VP,N,,,1240,,2001-11-08,,H        5,86097
1000038,2,2024-02-01,202402,2024,4100,0000,,0.0,,ice 1000038                                   1000,038             ARIN,VP,N,,,1240,,2001-03-01,,H        5,86097
1000039,1,2023-08-27,202308,2023,1200,0000,,6876.54,,ice 1000039                                   1000,039             ARIN,VP,N,,,1230,2027-12-30,,,H        5,12160
1000039,2,2023-08-27,202308,2023,4100,0000,,0.0,,ice 1000039                                   1000,039             ARIN,VP,N,,,1230,2027-12-30,,,H        5,12160
1000040,1,2024-11-17,202411,2024,1200,0000,,3920.89,,ice 1000040                                   1000,040             ARIN,VP,N,,,1241,,,,H        7,80081
1000040,2,2024-11-17,202411,2024,4100,0000,,0.0,,ice 1000040                                   1000,040             ARIN,VP,N,,,1241,,2017-10-23,,H        7,80081
1000041,1,2024-04-18,202404,2024,1200,0000,,1514.05,,ice 1000041                                   1000,041             ARIN,VP,N,,,1240,,,,H        2,67666
1000041,2,2024-04-18,202404,2024,4100,0000,,0.0,,ice 1000041                                   1000,041             ARIN,VP,N,,,1240,,,,H        2,67666
1000042,1,2024-02-21,202402,2024,1200,0000,,597.92,,ice 1000042                                   1000,042             ARIN,VP,N,,,1240,,,,H        2,87555
1000042,2,2024-02-21,202402,2024,4100,0000,,0.0,,ice 1000042                                   1000,042             ARIN,VP,N,,,1240,,,,H        2,87555
1000043,1,2024-03-30,202403,2024,1200,0000,,38596.36,,ice 1000043                                   1000,043             ARIN,VP,N,,,1240,,,,H        7,52801
1000043,2,2024-03-30,202403,2024,4100,0000,,0.0,,ice 1000043                                   1000,043             ARIN,VP,N,,,1240,,,,H        7,52801
1000044,1,2024-12-14,202412,2024,1200,0000,,3482.69,,ice 1000044                                   1000,044             ARIN,VP,N,,,1241,,,,H        3,27408
1000044,2,2024-12-14,202412,2024,4100,0000,,0.0,,ice 1000044                                   1000,044             ARIN,VP,N,,,1241,,,,H        3,27408
1000045,1,2024-01-25,202401,2024,1200,0000,,7249.92,,ice 1000045                                   1000,045             ARIN,VP,N,,,1240,,,,H        3,91622
1000045,2,2024-01-25,202401,2024,4100,0000,,0.0,,ice 1000045                                   1000,045             ARIN,VP,N,,,1240,,,,H        3,91622
1000046,1,2024-04-03,202404,2024,1200,0000,,7203.73,,ice 1000046                                   1000,046             ARIN,VP,N,,,1240,,,,H        9,95304
1000046,2,2024-04-03,202404,2024,4100,0000,,0.0,,ice 1000046                                   1000,046             ARIN,VP,N,,,1240,,,,H        9,95304
1000047,1,2024-01-20,202401,2024,1200,0000,,7589.83,,ice 1000047                                   1000,047             ARIN,VP,N,,,1240,,,,H        7,40774
1000047,2,2024-01-20,202401,2024,4100,0000,,0.0,,ice 1000047                                   1000,047             ARIN,VP,N,,,1240,,,,H        7,40774
1000048,1,2024-10-30,202410,2024,1200,0000,,7671.14,,ice 1000048                                   1000,048             ARIN,VP,N,,,1241,,1930-03-26,,H        9,5843
1000048,2,2024-10-30,202410,2024,4100,0000,,0.0,,ice 1000048                                   1000,048             ARIN,VP,N,,,1241,,,,H        9,5843
1000049,1,2023-08-13,202308,2023,1200,0000,,927.02,,ice 1000049                                   1000,049             ARIN,VP,N,,,1230,2013-12-30,,,H        4,45200
1000049,2,2023-08-13,202308,2023,4100,0000,,0.0,,ice 1000049                                   1000,049             ARIN,VP,N,,,1230,2013-12-30,,,H        4,45200
1000050,1,2024-04-24,202404,2024,1200,0000,,4822.95,,ice 1000050                                   1000,050             ARIN,VP,N,,,1240,,,,H        1,91928
1000050,2,2024-04-24,202404,2024,4100,0000,,0.0,,ice 1000050                                   1000,050             ARIN,VP,N,,,1240,,2024-02-09,,H        1,91928
1000051,1,2023-12-24,202312,2023,1200,0000,,867.81,,ice 1000051                                   1000,051             ARIN,VP,N,,,1231,2024-12-31,,,H        7,53518
1000051,2,2023-12-24,202312,2023,4100,0000,,0.0,,ice 1000051                                   1000,051             ARIN,VP,N,,,1231,2024-12-31,,,H        7,53518
1000052,1,2023-02-15,202302,2023,1200,0000,,1983.59,,ice 1000052                                   1000,052             ARIN,VP,N,,,1230,2015-12-30,,,H        3,2957
1000052,2,2023-02-15,202302,2023,4100,0000,,0.0,,ice 1000052                                   1000,052             ARIN,VP,N,,,1230,2015-12-30,2015-02-23,,H        3,2957
1000053,1,2023-02-02,202302,2023,1200,0000,,505.71,,ice 1000053                                   1000,053             ARIN,VP,N,,,1230,2002-12-30,,,H        4,50006
1000053,2,2023-02-02,202302,2023,4100,0000,,0.0,,ice 1000053                                   1000,053             ARIN,VP,N,,,1230,2002-12-30,,,H        4,50006
1000054,1,2024-06-11,202406,2024,1200,0000,,1285.81,,ice 1000054                                   1000,054             ARIN,VP,N,,,1240,,,,H        4,22722
1000054,2,2024-06-11,202406,2024,4100,0000,,0.0,,ice 1000054                                   1000,054             ARIN,VP,N,,,1240,,,,H        4,22722
1000055,1,2023-01-30,202301,2023,1200,0000,,1148.06,,ice 1000055                                   1000,055             ARIN,VP,N,,,1230,2030-12-30,2030-02-19,,H        4,46569
1000055,2,2023-01-30,202301,2023,4100,0000,,0.0,,ice 1000055                                   1000,055             ARIN,VP,N,,,1230,2030-12-30,2030-03-02,,H        4,46569
1000056,1,2024-09-10,202409,2024,1200,0000,,942.38,,ice 1000056                                   1000,056             ARIN,VP,N,,,1240,,2010-11-27,,H        6,63051
1000056,2,2024-09-10,202409,2024,4100,0000,,0.0,,ice 1000056                                   1000,056             ARIN,VP,N,,,1240,,2010-08-20,,H        6,63051
1000057,1,2024-07-01,202407,2024,1200,0000,,21654.17,,ice 1000057                                   1000,057             ARIN,VP,N,,,1240,,,,H        7,5445
1000057,2,2024-07-01,202407,2024,4100,0000,,0.0,,ice 1000057                                   1000,057             ARIN,VP,N,,,1240,,2001-07-15,,H        7,5445
1000058,1,2023-02-17,202302,2023,1200,0000,,876.74,,ice 1000058                                   1000,058             ARIN,VP,N,,,1230,2017-12-30,,,H        6,60226
1000058,2,2023-02-17,202302,2023,4100,0000,,0.0,,ice 1000058                                   1000,058             ARIN,VP,N,,,1230,2017-12-30,,,H        6,60226
1000059,1,2024-07-06,202407,2024,1200,0000,,2644.77,,ice 1000059                                   1000,059             ARIN,VP,N,,,1240,,,,H        1,33164
1000059,2,2024-07-06,202407,2024,4100,0000,,0.0,,ice 1000059                                   1000,059             ARIN,VP,N,,,1240,,2006-11-03,,H        1,33164
1000060,1,2024-02-11,202402,2024,1200,0000,,4959.68,,ice 1000060                                   1000,060             ARIN,VP,N,,,1240,,,,H        2,83514
1000060,2,2024-02-11,202402,2024,4100,0000,,0.0,,ice 1000060                                   1000,060             ARIN,VP,N,,,1240,,,,H        2,83514
1000061,1,2024-04-24,202404,2024,1200,0000,,4384.27,,ice 1000061                                   1000,061             ARIN,VP,N,,,1240,,,,H        6,24344
1000061,2,2024-04-24,202404,2024,4100,0000,,0.0,,ice 1000061                                   1000,061             ARIN,VP,N,,,1240,,,,H        6,24344
1000062,1,2024-12-10,202412,2024,1200,0000,,14864.3,,ice 1000062                                   1000,062             ARIN,VP,N,,,1241,,2010-08-07,,H        9,62074
1000062,2,2024-12-10,202412,2024,4100,0000,,0.0,,ice 1000062                                   1000,062             ARIN,VP,N,,,1241,,2010-04-20,,H        9,62074
1000063,1,2023-09-09,202309,2023,1200,0000,,6205.74,,ice 1000063                                   1000,063             ARIN,VP,N,,,1230,2009-12-30,,,H        1,4309
1000063,2,2023-09-09,202309,2023,4100,0000,,0.0,,ice 1000063                                   1000,063             ARIN,VP,N,,,1230,2009-12-30,,,H        1,4309
1000064,1,2023-07-10,202307,2023,1200,0000,,10036.25,,ice 1000064                                   1000,064             ARIN,VP,N,,,1230,2010-12-30,,,H        9,3398
1000064,2,2023-07-10,202307,2023,4100,0000,,0.0,,ice 1000064                                   1000,064             ARIN,VP,N,,,1230,2010-12-30,,,H        9,3398
1000065,1,2023-03-27,202303,2023,1200,0000,,1609.36,,ice 1000065                                   1000,065             ARIN,VP,N,,,1230,2027-12-30,2027-04-08,,H        6,58131
1000065,2,2023-03-27,202303,2023,4100,0000,,0.0,,ice 1000065                                   1000,065             ARIN,VP,N,,,1230,2027-12-30,,,H        6,58131
1000066,1,2023-02-06,202302,2023,1200,0000,,42444.84,,ice 1000066                                   1000,066             ARIN,VP,N,,,1230,2006-12-30,,,H        6,86810
1000066,2,2023-02-06,202302,2023,4100,0000,,0.0,,ice 1000066                                   1000,066             ARIN,VP,N,,,1230,2006-12-30,,,H        6,86810
1000067,1,2023-08-16,202308,2023,1200,0000,,2025.62,,ice 1000067                                   1000,067             ARIN,VP,N,,,1230,2016-12-30,,,H        4,26503
1000067,2,2023-08-16,202308,2023,4100,0000,,0.0,,ice 1000067                                   1000,067             ARIN,VP,N,,,1230,2016-12-30,,,H        4,26503
1000068,1,2024-11-04,202411,2024,1200,0000,,47591.7,,ice 1000068                                   1000,068             ARIN,VP,N,,,1241,,,,H        1,90302
1000068,2,2024-11-04,202411,2024,4100,0000,,0.0,,ice 1000068                                   1000,068             ARIN,VP,N,,,1241,,,,H        1,90302
1000069,1,2024-05-12,202405,2024,1200,0000,,4909.23,,ice 1000069                                   1000,069             ARIN,VP,N,,,1240,,,,H        1,82361
1000069,2,2024-05-12,202405,2024,4100,0000,,0.0,,ice 1000069                                   1000,069             ARIN,VP,N,,,1240,,2012-08-21,,H        1,82361
1000070,1,2024-06-23,202406,2024,1200,0000,,1633.0,,ice 1000070                                   1000,070             ARIN,VP,N,,,1240,,,,H        9,3726
1000070,2,2024-06-23,202406,2024,4100,0000,,0.0,,ice 1000070                                   1000,070             ARIN,VP,N,,,1240,,,,H        9,3726
1000071,1,2024-02-09,202402,2024,1200,0000,,1146.18,,ice 1000071                                   1000,071             ARIN,VP,N,,,1240,,,,H        9,27094
1000071,2,2024-02-09,202402,2024,4100,0000,,0.0,,ice 1000071                                   1000,071             ARIN,VP,N,,,1240,,,,H        9,27094
1000072,1,2024-04-26,202404,2024,1200,0000,,1869.39,,ice 1000072                                   1000,072             ARIN,VP,N,,,1240,,2026-10-04,,H        9,5245
1000072,2,2024-04-26,202404,2024,4100,0000,,0.0,,ice 1000072                                   1000,072             ARIN,VP,N,,,1240,,,,H        9,5245
1000073,1,2024-05-24,202405,2024,1200,0000,,1304.4,,ice 1000073                                   1000,073             ARIN,VP,N,,,1240,,,,H        5,20286
1000073,2,2024-05-24,202405,2024,4100,0000,,0.0,,ice 1000073                                   1000,073             ARIN,VP,N,,,1240,,,,H        5,20286
1000074,1,2023-05-31,202305,2023,1200,0000,,5014.09,,ice 1000074                                   1000,074             ARIN,VP,N,,,1230,2031-12-30,,,H        9,25571
1000074,2,2023-05-31,202305,2023,4100,0000,,0.0,,ice 1000074                                   1000,074             ARIN,VP,N,,,1230,2031-12-30,,,H        9,25571
1000075,1,2023-02-10,202302,2023,1200,0000,,1208.02,,ice 1000075                                   1000,075             ARIN,VP,N,,,1230,2010-12-30,,,H        7,25030
1000075,2,2023-02-10,202302,2023,4100,0000,,0.0,,ice 1000075                                   1000,075             ARIN,VP,N,,,1230,2010-12-30,,,H        7,25030
1000076,1,2024-10-24,202410,2024,1200,0000,,3966.76,,ice 1000076                                   1000,076             ARIN,VP,N,,,1241,,,,H        8,18807
1000076,2,2024-10-24,202410,2024,4100,0000,,0.0,,ice 1000076                                   1000,076             ARIN,VP,N,,,1241,,,,H        8,18807
1000077,1,2024-12-05,202412,2024,1200,0000,,1377.94,,ice 1000077                                   1000,077             ARIN,VP,N,,,1241,,,,H        7,8979
1000077,2,2024-12-05,202412,2024,4100,0000,,0.0,,ice 1000077                                   1000,077             ARIN,VP,N,,,1241,,,,H        7,8979
1000078,1,2024-05-11,202405,2024,1200,0000,,1751.32,,ice 1000078                                   1000,078             ARIN,VP,N,,,1240,,,,H        3,5171
1000078,2,2024-05-11,202405,2024,4100,0000,,0.0,,ice 1000078                                   1000,078             ARIN,VP,N,,,1240,,,,H        3,5171
1000079,1,2024-04-04,202404,2024,1200,0000,,7359.5,,ice 1000079                                   1000,079             ARIN,VP,N,,,1240,,,,H        7,11033
1000079,2,2024-04-04,202404,2024,4100,0000,,0.0,,ice 1000079                                   1000,079             ARIN,VP,N,,,1240,,,,H        7,11033
1000080,1,2024-10-26,202410,2024,1200,0000,,768.78,,ice 1000080                                   1000,080             ARIN,VP,N,,,1241,,1926-12-16,,H        6,87234
1000080,2,2024-10-26,202410,2024,4100,0000,,0.0,,ice 1000080                                   1000,080             ARIN,VP,N,,,1241,,1926-08-06,,H        6,87234
1000081,1,2023-07-21,202307,2023,1200,0000,,9915.87,,ice 1000081                                   1000,081             ARIN,VP,N,,,1230,2021-12-30,,,H        4,33580
1000081,2,2023-07-21,202307,2023,4100,0000,,0.0,,ice 1000081                                   1000,081             ARIN,VP,N,,,1230,2021-12-30,2021-07-27,,H        4,33580
1000082,1,2023-05-17,202305,2023,1200,0000,,4614.72,,ice 1000082                                   1000,082             ARIN,VP,N,,,1230,2017-12-30,2017-06-15,,H        2,61760
1000082,2,2023-05-17,202305,2023,4100,0000,,0.0,,ice 1000082                                   1000,082             ARIN,VP,N,,,1230,2017-12-30,,,H        2,61760
1000083,1,2024-12-26,202412,2024,1200,0000,,2129.13,,ice 1000083                                   1000,083             ARIN,VP,N,,,1241,,2026-05-26,,H        6,10343
1000083,2,2024-12-26,202412,2024,4100,0000,,0.0,,ice 1000083                                   1000,083             ARIN,VP,N,,,1241,,,,H        6,10343
1000084,1,2024-10-22,202410,2024,1200,0000,,27094.27,,ice 1000084                                   1000,084             ARIN,VP,N,,,1241,,,,H        7,53523
1000084,2,2024-10-22,202410,2024,4100,0000,,0.0,,ice 1000084                                   1000,084             ARIN,VP,N,,,1241,,,,H        7,53523
1000085,1,2024-06-03,202406,2024,1200,0000,,1099.55,,ice 1000085                                   1000,085             ARIN,VP,N,,,1240,,,,H        9,87938
1000085,2,2024-06-03,202406,2024,4100,0000,,0.0,,ice 1000085                                   1000,085             ARIN,VP,N,,,1240,,,,H        9,87938
1000086,1,2024-05-10,202405,2024,1200,0000,,3287.83,,ice 1000086                                   1000,086             ARIN,VP,N,,,1240,,,,H        6,95748
1000086,2,2024-05-10,202405,2024,4100,0000,,0.0,,ice 1000086                                   1000,086             ARIN,VP,N,,,1240,,,,H        6,95748
1000087,1,2023-10-12,202310,2023,1200,0000,,742.7,,ice 1000087                                   1000,087             ARIN,VP,N,,,1231,1912-12-31,1912-05-11,,H        6,42060
1000087,2,2023-10-12,202310,2023,4100,0000,,0.0,,ice 1000087                                   1000,087             ARIN,VP,N,,,1231,1912-12-31,,,H        6,42060
1000088,1,2024-08-01,202408,2024,1200,0000,,1211.71,,ice 1000088                                   1000,088             ARIN,VP,N,,,1240,,2001-01-30,,H        4,27679
1000088,2,2024-08-01,202408,2024,4100,0000,,0.0,,ice 1000088                                   1000,088             ARIN,VP,N,,,1240,,,,H        4,27679
1000089,1,2023-07-01,202307,2023,1200,0000,,7675.09,,ice 1000089                                   1000,089             ARIN,VP,N,,,1230,2001-12-30,,,H        4,70057
1000089,2,2023-07-01,202307,2023,4100,0000,,0.0,,ice 1000089                                   1000,089             ARIN,VP,N,,,1230,2001-12-30,,,H        4,70057
1000090,1,2023-04-11,202304,2023,1200,0000,,742.54,,ice 1000090                                   1000,090             ARIN,VP,N,,,1230,2011-12-30,2011-10-06,,H        1,64401
1000090,2,2023-04-11,202304,2023,4100,0000,,0.0,,ice 1000090                                   1000,090             ARIN,VP,N,,,1230,2011-12-30,2011-08-12,,H        1,64401
1000091,1,2023-12-21,202312,2023,1200,0000,,534.73,,ice 1000091                                   1000,091             ARIN,VP,N,,,1231,2021-12-31,,,H        1,80595
1000091,2,2023-12-21,202312,2023,4100,0000,,0.0,,ice 1000091                                   1000,091             ARIN,VP,N,,,1231,2021-12-31,,,H        1,80595
1000092,1,2023-10-20,202310,2023,1200,0000,,825.69,,ice 1000092                                   1000,092             ARIN,VP,N,,,1231,1920-12-31,1920-10-19,,H        7,33152
