payment_id,customer_id,payment_date,payment_amount,payment_method,check_number,bank_reference,remittance_name,invoice_reference,applied_flag,applied_date,applied_amount,unapplied_amount,payment_type,status,batch_session,batch_id,created_date,updated_date,updated_time,updated_by
500028,100202,2024-06-12,,,,                       Gr,aves-Grimes,,2,1904-06-12,597.92,, 7,20,,20240612-124061,,,,
500029,100315,2024-05-01,,28,49,                       Ma,"thews, Wright and Jensen",,2,1904-05-01,7249.92,, 4,13,,20240501-124050,,,,
500030,100332,2024-04-30,,98,13,                       Jo,nes-Rivera,,2,1904-04-30,7203.73,, 1,78,,20240430-124043,,,,
500031,100016,2024-01-30,,87,78,                       Ki,ng Group,,2,1904-01-30,3794.91,, 3,26,,20240130-124013,,,,
500032,100353,2024-12-15,,48,10,                       Go,odwin-Green,,0,,7671.14,, 7,87,,20241215-124121,,,,ON
500033,100162,2023-09-09,,,             RE,F917387908             Fo,ster Inc,,2,1903-09-09,463.51,, 4,10,,20230909-123090,,,,
500034,100279,2024-08-05,,,             RE,F961328669             FA,"RMER, GREEN AND SCHMIDT",,2,1904-08-05,4822.95,, 1,79,,20240805-124080,,,,
500035,100256,2024-02-19,,,             RE,F800085950             Ad,ams and Sons,,2,1904-02-19,867.81,, 5,39,,20240219-124021,,,,
500036,100000,2023-02-15,,29,34,                       Fi,gueroa and Sons,,2,1903-02-15,505.71,, 6,05,,20230215-123021,,,,N
500037,100188,2024-10-04,,15,51,                       Bi,rd-Garcia,,2,1904-10-04,1285.81,, 4,91,,20241004-124100,,,,
500038,100442,2024-12-19,,,             RE,F419777781             Ba,"rton, Graves and Rodriguez",,2,1904-12-19,942.38,, 4,92,,20241219-124121,,,,N
500039,100365,2023-03-15,,,             RE,F961082390             Li,vingston-Leblanc,,0,,0.0,, 9,62,,20230315-123031,,,,N
500040,100447,2024-09-24,,,             RE,F593366889             Mu,rphy and Sons,,2,1904-09-24,2644.77,, 7,97,,20240924-124092,,2012-07-30,,N
500041,100148,2024-05-08,,35,01,                       Br,own and Sons,,2,1904-05-08,4959.68,, 5,88,,20240508-124050,,,,ON
500042,100059,2024-05-27,,,             RE,F390959190             Si,"mpson, Cohen and Perry",,2,1904-05-27,4384.27,, 8,99,,20240527-124052,,,,
500043,100499,2023-12-06,,93,27,                       Gr,"egory, Yang and Owens",,2,1903-12-06,6205.74,, 3,99,,20231206-123120,,,,ON
500044,100168,2023-10-05,,,             RE,F571360478             Ri,"chard, Hall and Evans",,2,1903-10-05,0.0,, 2,44,,20231005-123100,,2018-06-21,,
500045,100352,2023-04-03,,30,87,                       Ha,le Inc,,2,1903-04-03,1609.36,, 7,99,,20230403-123040,,,,
500046,100172,2023-05-02,,,,                       Ad,ams LLC,,2,1903-05-02,42444.84,, 3,87,,20230502-123050,,,,
500047,100272,2023-10-19,,,,                       Wa,"llace, Allen and Thompson",,2,1903-10-19,2025.62,, 1,19,,20231019-123101,,,,
500048,100328,2024-11-21,,,             RE,F933284499             Pa,rks PLC,,2,1904-11-21,47591.7,, 1,57,,20241121-124112,,,,
500049,100456,2024-05-02,,,             RE,F819274869             Jo,hnston PLC,,2,1904-05-02,1869.39,, 8,19,,20240502-124050,,,,
500050,100184,2023-04-29,,,             RE,F674439028             An,derson and Sons,,0,,0.0,, 4,46,,20230429-123042,,,,
500051,100246,2024-11-30,,,             RE,F928820210             Jo,nes Group,,0,,3966.76,, 8,46,,20241130-124113,,,,N
500052,100479,2024-07-08,,,             RE,F619995471             Ki,"rby, Wood and Ramirez",,2,1904-07-08,1751.32,, 2,13,,20240708-124070,,,,
500053,100004,2024-12-17,,,             RE,F941098871             Br,own Inc,,2,1904-12-17,768.78,, 5,85,,20241217-124121,,,,
500054,100436,2023-09-17,,,,                       Mo,ore-Byrd,,2,1903-09-17,9915.87,, 5,04,,20230917-123091,,,,ON
500055,100351,2024-12-06,,69,19,                       Su,llivan Group,,2,1904-12-06,27094.27,, 4,97,,20241206-124120,,2012-05-16,,N
500056,100096,2024-08-14,,39,47,                       Ba,"rnes, Hernandez and Davis",,2,1904-08-14,0.0,, 1,62,,20240814-124081,,,,
500057,100389,2024-07-15,,,             RE,F155292807             Fl,ores-Estrada,,2,1904-07-15,3287.83,, 4,49,,20240715-124071,,,,
500058,100256,2023-11-02,,,             RE,F837283354             Ad,ams and Sons,,2,1903-11-02,557.02,, 7,94,,20231102-123110,,,,
500059,100042,2024-09-04,,,             RE,F546561435             Wa,rren Ltd,,2,1904-09-04,1211.71,, 7,72,,20240904-124090,,2022-06-18,,
500060,100328,2023-08-05,,91,46,                       Pa,rks PLC,,2,1903-08-05,7675.09,, 5,47,,20230805-123080,,,,
500061,100424,2023-08-01,,86,38,                       Ja,mes Inc,,2,1903-08-01,742.54,, 6,91,,20230801-123080,,,,
500062,100451,2023-10-22,,,             RE,F507594557             He,ndricks-Rice,,2,1903-10-22,825.69,, 5,36,,20231022-123102,,,,
500063,100093,2023-09-08,,64,32,                       Jo,"hnson, Perkins and Sullivan",,2,1903-09-08,987.04,, 8,96,,20230908-123090,,,,
500064,100252,2023-05-15,,,,                       Ba,"ker, James and Silva",,2,1903-05-15,4042.54,, 2,81,,20230515-123051,,,,ON
500065,100006,2023-04-28,,,             RE,F988210712             Jo,"nes, Hensley and Powell",,2,1903-04-28,0.0,, 1,77,,20230428-123042,,,,
500066,100245,2024-04-02,,93,19,                       Ab,bott-Wallace,,2,1904-04-02,0.0,, 5,06,,20240402-124040,,,,N
500067,100005,2024-02-19,,,,                       We,"st, Henderson and Ramirez",,2,1904-02-19,7642.0,, 8,87,,20240219-124021,,,,N
500068,100154,2024-03-12,,80,60,                       Br,"ooks, Fry and Stewart",,2,1904-03-12,327.82,, 5,46,,20240312-124031,,,,ON
500069,100057,2023-11-04,,,             RE,F392235014             Jo,hnson LLC,,2,1903-11-04,494.25,, 3,43,,20231104-123110,,,,
500070,100037,2023-12-08,,,             RE,F360603757             Lo,"pez, Holmes and Mcintyre",,2,1903-12-08,4722.02,, 6,64,,20231208-123120,,,,
500071,100081,2023-07-27,,,             RE,F398095031             Wh,eeler Inc,,2,1903-07-27,1592.18,, 2,42,,20230727-123072,,,,N
500072,100164,2023-09-05,,,             RE,F638383416             Sa,"ndoval, Anderson and Carter",,2,1903-09-05,4905.8,, 2,25,,20230905-123090,,,,
500073,100258,2024-09-03,,64,04,                       Ho,ffman-May,,2,1904-09-03,0.0,, 8,07,,20240903-124090,,,,ON
500074,100216,2024-05-06,,66,28,                       Br,own LLC,,2,1904-05-06,11151.22,, 3,41,,20240506-124050,,,,ON
500075,100492,2023-05-20,,,             RE,F545834615             My,ers and Sons,,2,1903-05-20,1769.53,, 9,43,,20230520-123052,,,,ON
500076,100069,2023-09-24,,,             RE,F347854968             Sa,"nchez, Phillips and Jenkins",,2,1903-09-24,322.22,, 9,46,,20230924-123092,,,,
500077,100434,2024-05-07,,66,51,                       Go,nzalez and Sons,,2,1904-05-07,1690.53,, 1,36,,20240507-124050,,,,
500078,100449,2024-05-16,,,             RE,F517545090             Co,"oper, Henderson and Barrera",,0,,347.07,, 9,95,,20240516-124051,,2010-03-21,,
500079,100222,2024-01-22,,77,85,                       Sm,"ith, Randolph and Garcia",,2,1904-01-22,39076.18,, 7,80,,20240122-124012,,2017-03-31,,ON
500080,100129,2024-03-13,,,             RE,F881843286             Mo,nroe Group,,2,1904-03-13,50096.63,, 8,81,,20240313-124031,,,,ON
500081,100416,2024-06-09,,,             RE,F457889160             Br,yant-Kelly,,2,1904-06-09,3866.2,, 5,94,,20240609-124060,,2020-11-11,,
500082,100286,2024-11-03,,32,93,                       Bu,rch,,2,1904-11-03,0.0,, 3,46,,20241103-124110,,,,
500083,100448,2024-08-23,,,             RE,F152933084             Co,"oper, Myers and Shelton",,2,1904-08-23,7633.61,, 9,90,,20240823-124082,,,,
500084,100180,2024-01-10,,39,71,                       Sa,"nchez, Williams and Jensen",,2,1904-01-10,1426.89,, 6,10,,20240110-124011,,1903-06-06,,
500085,100014,2024-03-11,,63,11,                       Gr,aham-Simon,,2,1904-03-11,5499.97,, 9,16,,20240311-124031,,,,N
500086,100414,2023-08-03,,,             RE,F230050776             Go,rdon and Sons,,2,1903-08-03,0.0,, 4,56,,20230803-123080,,2003-10-28,,
500087,100147,2024-05-02,,,             RE,F235982875             Pa,lmer Group,,2,1904-05-02,571.15,, 9,85,,20240502-124050,,,,
500088,100249,2023-05-15,,,             RE,F753282652             Jo,nes LLC,,2,1903-05-15,1596.91,, 5,35,,20230515-123051,,,,
500089,100400,2024-06-23,,,             RE,F808816838             Pe,"rez, Cole and Boyd",,2,1904-06-23,251.9,, 4,19,,20240623-124062,,,,
500090,100086,2023-10-12,,12,21,                       We,"bb, Romero and Morse",,2,1903-10-12,7961.01,, 3,84,,20231012-123101,,2009-03-01,,
500091,100462,2023-04-20,,49,36,                       Ja,"ckson, Villa and Hernandez",,2,1903-04-20,0.0,, 8,18,,20230420-123042,,,,
500092,100147,2024-05-26,,36,94,                       Pa,lmer Group,,2,1904-05-26,1545.71,, 4,58,,20240526-124052,,,,
500093,100272,2023-02-12,,,             RE,F595875124             Wa,"llace, Allen and Thompson",,2,1903-02-12,0.0,, 1,19,,20230212-123021,,,,
500094,100400,2023-06-12,,96,78,                       Pe,"rez, Cole and Boyd",,2,1903-06-12,1575.77,, 7,55,,20230612-123061,,,,ON
500095,100185,2024-01-04,,,             RE,F406201171             El,lis-Bartlett,,2,1904-01-04,1112.22,, 1,90,,20240104-124010,,,,
500096,100425,2024-02-11,,96,13,                       Wh,ite-Beasley,,2,1904-02-11,1598.14,, 8,23,,20240211-124021,,,,
500097,100156,2023-07-01,,,             RE,F889627802             Go,nzalez-Perry,,2,1903-07-01,0.0,, 3,68,,20230701-123070,,,,
500098,100011,2024-03-25,,,,                       Gr,"iffin, Moore and Hensley",,2,1904-03-25,798.26,, 8,09,,20240325-124032,,,,
500099,100355,2023-02-24,,,             RE,F761573564             Ro,"ss, Gregory and Barber",,2,1903-02-24,7883.99,, 9,49,,20230224-123022,,,,N
500100,100141,2023-07-02,,16,22,                       He,rnandez-West,,2,1903-07-02,0.0,, 6,92,,20230702-123070,,,,
500101,100141,2024-02-09,,22,94,                       He,rnandez-West,,2,1904-02-09,2241.19,, 5,38,,20240209-124020,,,,
500102,100160,2024-02-25,,,             RE,F566299074             Ph,elps and Sons,,2,1904-02-25,5515.87,, 4,76,,20240225-124022,,,,
500103,100059,2024-12-25,,,             RE,F697134900             Si,"mpson,",,2,1904-12-25,8267.52,, 5,51,,20241225-124122,,,,N
500104,100118,2024-09-26,,,             RE,F124010043             Hu,"ffman, Martin and Thomas",,2,1904-09-26,1012.02,, 7,06,,20240926-124092,,,,
500105,100044,2024-02-02,,,             RE,F721552137             De,lgado-Gilmore,,0,,1221.22,, 3,28,,20240202-124020,,,,ON
500106,100324,2024-08-08,,,             RE,F510219933             Ba,xter-Wheeler,,2,1904-08-08,0.0,, 8,96,,20240808-124080,,,,
500107,100388,2023-07-30,,96,62,                       Bu,"rton, Davis and Galvan",,2,1903-07-30,1838.88,, 8,42,,20230730-123073,,,,
500108,100496,2024-06-13,,,             RE,F363724803             Sa,ntos-Monroe,,0,,2073.96,, 9,83,,20240613-124061,,,,ON
500109,100301,2024-06-25,,,,                       Gi,bson LLC,,2,1904-06-25,7903.95,, 2,71,,20240625-124062,,,,
500110,100261,2023-05-05,,,             RE,F150555077             Po,"well, Monroe and Caldwell",,2,1903-05-05,6313.16,, 6,83,,20230505-123050,,,,
500111,100065,2024-11-19,,,             RE,F585243143             JO,"NES, GIBSON AND WARD",,2,1904-11-19,0.0,, 3,29,,20241119-124111,,,,
500112,100035,2023-10-29,,,             RE,F912669797             Th,"ompson, Maxwell and Marshall",,2,1903-10-29,0.0,, 1,18,,20231029-123102,,,,
500113,100063,2023-07-04,,,             RE,F196880247             Ma,xwell-Vaughn,,2,1903-07-04,4678.3,, 6,74,,20230704-123070,,2000-05-06,,
500114,100465,2024-04-02,,50,50,                       Pa,"tterson, Koch and Hooper",,2,1904-04-02,0.0,, 8,61,,20240402-124040,,,,
500115,100342,2024-02-15,,34,12,                       Wh,eeler PLC,,2,1904-02-15,9929.58,, 6,42,,20240215-124021,,,,
500116,100163,2023-10-17,,,             RE,F500831843             Wi,lliams-Smith,,2,1903-10-17,3683.45,, 7,51,,20231017-123101,,,,ON
500117,100153,2023-05-31,,,             RE,F734099522             Ho,pkins-Thompson,,2,1903-05-31,228.42,, 7,38,,20230531-123053,,,,
500118,100070,2024-04-24,,,             RE,F660677473             Ke,lly-Combs,,2,1904-04-24,48785.76,, 9,42,,20240424-124042,,,,
500119,100184,2023-11-21,,,             RE,F532897386             AN,DERSON AND SONS,,0,,537.37,, 2,65,,20231121-123112,,,,
500120,100069,2024-01-05,,,             RE,F639410341             Sa,"nchez, Phillips and Jenkins",,2,1904-01-05,2060.69,, 6,65,,20240105-124010,,,,ON
500121,100016,2024-05-15,,,             RE,F812543701             Ki,ng Group,,2,1904-05-15,8555.34,, 9,30,,20240515-124051,,,,
500122,100381,2024-02-14,,15,56,                       Fr,"ancis, Lewis and Carter",,0,,713.61,, 9,78,,20240214-124021,,,,
500123,100036,2023-08-16,,56,28,                       Ga,rcia-Murphy,,2,1903-08-16,9815.96,, 4,54,,20230816-123081,,,,
500124,100252,2024-09-20,,,             RE,F684785801             Ba,"ker, James and Silva",,2,1904-09-20,0.0,, 1,85,,20240920-124092,,,,N
500125,100176,2024-09-16,,10,49,                       Da,"vis, Castillo and Morton",,2,1904-09-16,252.23,, 6,50,,20240916-124091,,,,N
500126,100452,2023-07-17,,,,                       Si,mmons Inc,,2,1903-07-17,4588.68,, 5,17,,20230717-123071,,,,N
500127,100071,2023-02-02,,45,27,                       Ro,gers LLC,,2,1903-02-02,848.98,, 8,04,,20230202-123020,,,,
500128,100298,2024-03-21,,23,61,                       Or,tiz-Smith,,2,1904-03-21,9129.43,, 4,25,,20240321-124032,,,,
500129,100032,2023-07-21,,,             RE,F406304546             Ro,mero PLC,,0,,120.59,, 7,39,,20230721-123072,,,,
500130,100219,2024-02-27,,49,25,                       Mc,"cullough, Marshall and Miller",,2,1904-02-27,22182.97,, 3,62,,20240227-124022,,2012-10-17,,
500131,100460,2024-08-05,,,,                       Ra,mos-Burgess,,2,1904-08-05,774.12,, 2,71,,20240805-124080,,,,
500132,100478,2023-01-26,,,             RE,F364776212             Gi,lmore,,2,1903-01-26,960.06,, 7,49,,20230126-123012,,2023-01-21,,
500133,100052,2023-08-19,,,             RE,F107792823             Kn,ight-Hodge,,2,1903-08-19,8357.74,, 5,99,,20230819-123081,,,,
500134,100329,2023-05-07,,,             RE,F817615789             Fr,"ederick, Chavez and Carter",,0,,0.0,, 1,33,,20230507-123050,,,,
500135,100143,2023-10-15,,27,85,                       Th,ompson-Murray,,2,1903-10-15,1570.02,, 8,41,,20231015-123101,,,,
500136,100181,2024-02-12,,66,59,                       Sc,ott-Miller,,2,1904-02-12,3656.28,, 4,56,,20240212-124021,,,,
500137,100427,2024-12-06,,59,42,                       Wa,lton Group,,2,1904-12-06,788.93,, 3,09,,20241206-124120,,,,
500138,100290,2024-05-30,,,             RE,F529085084             Ga,tes-Cook,,2,1904-05-30,612.33,, 4,32,,20240530-124053,,,,
500139,100282,2023-12-10,,,,                       WA,"RD, SCOTT AND RODRIGUEZ",,0,,11256.53,, 9,47,,20231210-123121,,,,
500140,100086,2024-07-24,,,             RE,F384264545             We,"bb, Romero and Morse",,0,,3506.91,, 3,88,,20240724-124072,,,,
500141,100257,2024-04-03,,,             RE,F471622013             Ma,"rtin, Roberts and Cohen",,2,1904-04-03,1260.36,, 9,73,,20240403-124040,,,,ON
500142,100313,2024-07-16,,44,18,                       Wi,lliams-Robinson,,2,1904-07-16,41345.54,, 3,14,,20240716-124071,,,,
500143,100218,2024-12-25,,26,99,                       Jo,nes,,2,1904-12-25,696.52,, 6,41,,20241225-124122,,2001-12-13,,
500144,100028,2024-09-12,,,             RE,F702278183             Mo,ore PLC,,2,1904-09-12,7785.35,, 5,01,,20240912-124091,,,,N
500145,100189,2024-06-13,,,             RE,F262563914             Ge,"orge, Bautista and Stevenson",,2,1904-06-13,0.0,, 6,79,,20240613-124061,,,,ON
500146,100366,2024-07-05,,,             RE,F219317287             Be,nnett-Lee,,2,1904-07-05,1308.96,, 2,46,,20240705-124070,,,,
500147,100469,2024-06-27,,,,                       Re,"ed, Eaton and Crawford",,2,1904-06-27,6146.24,, 7,87,,20240627-124062,,,,N
500148,100142,2023-02-18,,24,62,                       JO,HNSON PLC,,2,1903-02-18,7434.73,, 1,89,,20230218-123021,,,,
500149,100457,2024-04-07,,34,46,                       Sa,"nchez, Gomez and Lindsey",,2,1904-04-07,1746.65,, 3,16,,20240407-124040,,,,ON
500150,100101,2023-07-24,,99,03,                       Ba,"ker, Adams and Mullen",,2,1903-07-24,991.93,, 9,08,,20230724-123072,,,,
500151,100198,2024-01-15,,,,                       Be,nnett Group,,2,1904-01-15,1330.08,, 5,49,,20240115-124011,,,,N
500152,100380,2024-04-18,,,             RE,F285966685             Br,own and Sons,,2,1904-04-18,927.98,, 5,19,,20240418-124041,,,,
500153,100250,2023-04-18,,44,72,                       Ma,rtin-Roberts,,2,1903-04-18,2114.41,, 7,70,,20230418-123041,,,,N
500154,100465,2024-01-29,,45,66,                       Pa,"tterson, Koch and Hooper",,2,1904-01-29,569.24,, 6,83,,20240129-124012,,,,
500155,100462,2023-07-21,,,             RE,F369910566             JA,"CKSON, VILLA AND HERNANDEZ",,0,,1003.46,, 3,93,,20230721-123072,,,,ON
500156,100232,2024-04-12,,,             RE,F599930516             Wa,de Group,,2,1904-04-12,1008.28,, 5,80,,20240412-124041,,,,ON
500157,100123,2024-11-19,,,             RE,F445465129             Be,"ll,",,2,1904-11-19,554.56,, 3,81,,20241119-124111,,,,N
500158,100191,2023-08-10,,70,46,                       Cr,"oss, Brooks and Sullivan",,2,1903-08-10,1045.46,, 9,48,,20230810-123081,,,,
500159,100460,2024-07-16,,29,80,                       Ra,mos-Burgess,,0,,853.07,, 1,00,,20240716-124071,,,,
500160,100210,2024-10-25,,,             RE,F128215138             Wi,"lson, Wong and Chen",,2,1904-10-25,953.46,, 6,74,,20241025-124102,,,,N
500161,100254,2023-03-27,,31,18,                       Jo,hnson Inc,,2,1903-03-27,1114.47,, 1,06,,20230327-123032,,,,
500162,100049,2023-09-02,,,             RE,F700945503             We,"lls, Atkinson and Turner",,0,,4757.98,, 6,25,,20230902-123090,,,,N
500163,100346,2024-02-24,,68,39,                       El,"lis, Roberts and Gutierrez",,2,1904-02-24,1656.29,, 7,66,,20240224-124022,,,,
500164,100070,2024-04-16,,44,66,                       Ke,lly-Combs,,2,1904-04-16,21360.33,, 1,11,,20240416-124041,,,,ON
500165,100322,2024-11-18,,37,49,                       Wa,"de,",,2,1904-11-18,0.0,, 9,28,,20241118-124111,,,,
500166,100246,2023-05-18,,,,                       Jo,nes Group,,2,1903-05-18,7640.05,, 1,35,,20230518-123051,,2012-08-17,,N
500167,100042,2024-04-21,,,             RE,F691577856             Wa,rren Ltd,,2,1904-04-21,0.0,, 2,09,,20240421-124042,,,,
500168,100302,2024-11-08,,,             RE,F682068711             RO,DRIGUEZ-PEARSON,,0,,144.05,, 4,87,,20241108-124110,,2004-11-26,,N
500169,100302,2023-09-13,,,,                       RO,DRIGUEZ-PEARSON,,2,1903-09-13,0.0,, 5,01,,20230913-123091,,,,
500170,100042,2023-04-02,,,,                       Wa,rren Ltd,,2,1903-04-02,1648.59,, 2,15,,20230402-123040,,,,
500171,100211,2023-10-04,,,             RE,F417501773             Lo,pez Group,,2,1903-10-04,1662.8,, 9,40,,20231004-123100,,,,
500172,100255,2024-06-28,,79,80,                       Ho,ffman-Webb,,2,1904-06-28,1456.37,, 8,18,,20240628-124062,,,,
500173,100108,2024-03-25,,,,                       Ma,"rtin, Schmidt and Cole",,2,1904-03-25,791.31,, 8,67,,20240325-124032,,,,
500174,100262,2023-07-10,,,             RE,F766635979             Mc,carthy-Thompson,,2,1903-07-10,1617.71,, 5,60,,20230710-123071,,,,
500175,100328,2023-06-17,,23,67,                       Pa,rks PLC,,2,1903-06-17,51372.61,, 3,33,,20230617-123061,,2008-01-22,,
500176,100146,2024-01-23,,87,03,                       Tu,rner Inc,,2,1904-01-23,941.28,, 8,56,,20240123-124012,,,,
500177,100156,2024-01-10,,,,                       Go,nzalez-Perry,,2,1904-01-10,1577.9,, 4,93,,20240110-124011,,,,
500178,100447,2024-05-08,,28,41,                       Mu,rphy and Sons,,2,1904-05-08,7857.48,, 8,43,,20240508-124050,,,,
500179,100193,2023-10-23,,63,28,                       Bi,rd-Savage,,2,1903-10-23,44145.45,, 6,75,,20231023-123102,,,,ON
500180,100361,2024-04-09,,83,81,                       Ag,uilar-Martin,,2,1904-04-09,0.0,, 2,22,,20240409-124040,,,,
500181,100298,2024-12-12,,,             RE,F276766666             Or,tiz-Smith,,2,1904-12-12,3094.64,, 6,96,,20241212-124121,,,,
500182,100327,2024-09-23,,,             RE,F804733691             Ra,mirez Inc,,2,1904-09-23,7043.73,, 5,71,,20240923-124092,,,,
500183,100195,2023-09-11,,75,65,                       Da,"vies, Archer and Owens",,0,,4110.65,, 8,48,,20230911-123091,,,,
500184,100439,2023-09-20,,,,                       Bl,ackwell LLC,,2,1903-09-20,810.78,, 1,06,,20230920-123092,,,,
500185,100235,2023-11-16,,25,30,                       Wa,"lsh, Henderson and Rasmussen",,2,1903-11-16,7963.67,, 5,93,,20231116-123111,,,,N
500186,100011,2023-08-23,,,             RE,F118477513             Gr,"iffin, Moore and Hensley",,2,1903-08-23,0.0,, 9,58,,20230823-123082,,,,
500187,100031,2023-07-02,,55,56,                       Wr,ight Group,,2,1903-07-02,0.0,, 4,94,,20230702-123070,,,,
500188,100052,2023-08-19,,63,41,                       Kn,ight-Hodge,,0,,2417.7,, 7,07,,20230819-123081,,,,ON
500189,100041,2023-11-10,,,             RE,F310130689             Br,ooks-Hatfield,,2,1903-11-10,455.11,, 4,48,,20231110-123111,,,,
500190,100225,2023-11-28,,,,                       Le,e Inc,,2,1903-11-28,10728.64,, 8,67,,20231128-123112,,2023-02-24,,
500191,100379,2023-08-06,,,             RE,F776683148             Th,ompson Inc,,2,1903-08-06,5615.0,, 1,84,,20230806-123080,,,,
500192,100297,2023-09-28,,13,74,                       Jo,"hnson, Rasmussen and Cruz",,0,,947.11,, 2,81,,20230928-123092,,,,ON
500193,100082,2023-07-18,,,,                       Co,nley Ltd,,2,1903-07-18,10612.42,, 5,38,,20230718-123071,,,,ON
500194,100025,2024-03-24,,,             RE,F583016856             Ki,"ng, Thompson and Guerrero",,2,1904-03-24,48595.99,, 9,35,,20240324-124032,,,,
500195,100035,2023-07-01,,32,76,                       Th,"ompson, Maxwell and Marshall",,2,1903-07-01,920.27,, 3,69,,20230701-123070,,2017-08-15,,ON
500196,100334,2023-09-30,,,             RE,F572921038             Tu,"rner, Kaufman and Esparza",,2,1903-09-30,479.58,, 7,45,,20230930-123093,,,,
500197,100377,2024-03-14,,,,                       Ng,uyen and Sons,,2,1904-03-14,0.0,, 4,26,,20240314-124031,,,,
500198,100096,2024-02-25,,71,29,                       Ba,"rnes, Hernandez and Davis",,2,1904-02-25,1028.29,, 9,13,,20240225-124022,,2016-07-29,,
500199,100161,2023-06-29,,,,                       Ev,ans-Joyce,,2,1903-06-29,23268.9,, 9,87,,20230629-123062,,,,
500200,100256,2024-07-06,,27,00,                       Ad,ams and Sons,,2,1904-07-06,135.86,, 4,64,,20240706-124070,,,,
500201,100320,2023-12-20,,19,56,                       JO,NES-WHITE,,2,1903-12-20,780.15,, 5,41,,20231220-123122,,,,
500202,100283,2023-05-30,,,             RE,F257053451             Bu,chanan Inc,,2,1903-05-30,1250.03,, 3,40,,20230530-123053,,,,N
