invoice_number,customer_id,invoice_date,due_date,ship_date,po_number,reference1,reference2,invoice_amount,tax_amount,freight_amount,discount_amount,amount_paid,current_balance,status,hold_flag,dispute_flag,dispute_reason,payment_terms,document_type,division,gl_account,gl_post_date,gl_posted_flag,created_date,updated_date,updated_time,updated_by,batch_session
1000011,100349,2024-06-28,2024-07-13,2024-06-27,PO-15397,exploit B2B content,,1729.06,160.57,0.0,,,,00,1,1,200,,, 12,40628Y1240,,7,,,, 666157,
1000012,100300,2023-06-06,2023-07-21,2023-06-02,PO-88005,expedite vertical applications,,2346.22,117.87,0.0,,,,00,1,1,200,,, 12,30606Y1230,2006-12-30,7,,,, 629247,
1000013,100048,2024-11-29,2024-12-29,2024-11-28,PO-16463,target bricks-and-clicks actio,,599.75,17.38,0.0,,,,00,1,1,200,,, 12,41129Y1241,,1,,,, 518582,
1000014,100142,2023-07-14,2023-08-28,2023-07-09,,grow wireless markets,,1765.71,88.61,13.04,,,,00,1,1,200,,, 12,30714Y1230,2014-12-31,1,,,, 783932,
1000015,100303,2024-07-09,2024-08-23,2024-07-05,PO-85499,implement end-to-end technolog,,2764.89,170.32,24.62,,,,00,1,1,200,,, 12,40709Y1240,,8,,,, 217996,
1000016,100358,2024-09-08,2024-10-08,2024-09-07,PO-32184,productize extensible paradigm,,944.45,34.5,0.0,,,,00,1,1,200,,, 12,40908Y1240,,0,,,, 746154,
1000017,100436,2024-07-11,2024-08-10,2024-07-09,,morph strategic users,,9911.43,438.29,0.0,,,,00,1,1,200,,, 12,40711Y1240,,1,,,, 263568,
1000018,100402,2024-07-22,2024-08-21,2024-07-20,PO-47707,empower vertical action-items,,7556.38,64.84,24.3,,,,00,1,1,200,,, 12,40722Y1240,,2,,,, 459946,
1000019,100370,2023-07-18,2023-08-02,2023-07-13,,matrix B2B initiatives,,1647.71,50.27,0.0,,,,00,1,1,200,,, 12,30718Y1230,,1,,,, 648684,
1000020,100399,2023-11-26,2023-12-26,2023-11-21,,synthesize interactive deliver,,665.58,32.15,14.13,,,,00,1,1,200,,, 12,31126Y1231,,4,2020-11-15,,, 163029,
1000021,100154,2023-10-20,2023-11-19,2023-10-19,,orchestrate 24/365 channels,,280.63,19.55,0.0,,,,00,1,1,200,,, 12,31020Y1231,,1,,,, 384489,
1000022,100354,2023-10-22,2023-11-21,2023-10-18,PO-23055,target transparent technologie,,1733.75,114.44,1.91,0.0,,,00,1,1,200,,, 12,31022Y1231,,7,,,, 608205,
1000023,100459,2024-02-29,2024-03-30,2024-02-28,,maximize holistic web services,,6373.96,56.1,0.0,0.0,,,00,1,1,200,,, 12,40229Y1240,,2,,,, 419739,
1000024,100179,2023-02-06,2023-03-08,2023-02-01,,morph viral metrics,,1081.88,80.53,0.0,0.0,,,00,1,1,200,,, 12,30206Y1230,,2,,,, 756190,
1000025,100139,2024-12-02,2024-12-17,2024-11-29,,maximize end-to-end synergies,,890.81,79.32,2.95,,,,00,1,1,200,,, 12,41202Y1241,,2,,,, 511929,
1000026,100351,2024-12-06,2025-02-04,2024-12-01,PO-99983,re-contextualize transparent R,,11176.73,815.78,0.0,0.0,,,00,1,1,200,,, 12,41206Y1241,,2,,,, 537605,
1000027,100130,2024-03-21,2024-04-20,2024-03-17,PO-37100,benchmark B2C applications,,6156.09,262.54,0.0,,,,00,1,1,200,,, 12,40321Y1240,,2,,,, 245308,
1000028,100310,2024-11-25,2024-12-10,2024-11-23,PO-84035,engage interactive e-tailers,,1174.44,93.97,30.9,0.0,,,00,1,1,200,,, 12,41125Y1241,,2,,,, 432918,
1000029,100035,2023-12-15,2024-01-14,2023-12-13,PO-51771,strategize plug-and-play model,,601.61,57.07,0.0,,,,00,1,1,200,,, 12,31215Y1231,,6,,,, 531228,
1000030,100164,2024-10-30,2024-12-14,2024-10-28,,brand value-added content,,4987.04,465.67,93.33,,,,00,1,1,200,,, 12,41030Y1241,,1,,,, 127470,
1000031,100406,2023-05-07,2023-06-06,2023-05-02,,mesh dot-com metrics,,1974.72,121.83,0.0,,,,00,1,1,200,,, 12,30507Y1230,,9,,,, 127351,
1000032,100192,2023-05-27,2023-06-11,2023-05-25,PO-74414,mesh dynamic metrics,,343.06,26.75,0.0,0.0,,,00,1,1,200,,, 12,30527Y1230,2027-12-30,7,,,, 244192,
1000033,100087,2023-10-21,2023-11-20,2023-10-17,,utilize clicks-and-mortar part,,273.93,0.88,1.5,,,,00,1,1,200,,, 12,31021Y1231,,2,,,, 312686,
1000034,100402,2024-12-15,2025-01-14,2024-12-10,PO-52584,scale plug-and-play interfaces,,2841.06,50.31,43.93,0.0,,,00,1,1,200,,, 12,41215Y1241,,2,,,, 358771,
1000035,100227,2024-06-29,2024-08-13,2024-06-24,PO-84964,optimize extensible experience,,4643.8,19.42,38.04,,,,00,1,1,200,,, 12,40629Y1240,,0,,,, 662203,
1000036,100278,2024-09-27,2024-11-11,2024-09-23,PO-15559,drive intuitive e-tailers,,33862.72,2384.32,0.0,,,,00,1,1,200,,, 12,40927Y1240,,0,,,, 643899,
1000037,100285,2024-01-13,2024-02-12,2024-01-12,,maximize rich vortals,,912.1,67.05,0.0,,,,00,1,1,200,,, 12,40113Y1240,,3,,,, 517375,
1000038,100469,2024-02-01,2024-03-17,2024-01-27,PO-77760,enable robust applications,,3740.99,309.61,0.0,,,,00,1,1,200,,, 12,40201Y1240,,8,2030-02-24,,, 586097,
1000039,100440,2023-08-27,2023-10-11,2023-08-22,PO-81618,repurpose integrated content,,6814.91,61.63,0.0,,,,00,1,1,200,,, 12,30827Y1230,2027-12-31,1,,,, 512160,
1000040,100220,2024-11-17,2024-12-17,2024-11-16,,enable distributed synergies,,3911.15,9.74,0.0,0.0,,,00,1,1,200,,, 12,41117Y1241,,2,,,, 780081,
1000041,100481,2024-04-18,2024-05-18,2024-04-14,PO-77065,streamline viral e-services,,1480.65,24.28,9.12,0.0,,,00,1,1,200,,, 12,40418Y1240,,7,,,, 267666,
1000042,100202,2024-02-21,2024-03-07,2024-02-19,,synthesize cutting-edge e-comm,,595.31,2.61,0.0,,,,00,1,1,200,,, 12,40221Y1240,,8,,,, 287555,
1000043,100409,2024-03-30,2024-05-29,2024-03-29,PO-36588,morph wireless channels,,37042.14,1554.22,0.0,0.0,,,00,1,1,200,,, 12,40330Y1240,,2,,,, 752801,
1000044,100407,2024-12-14,2025-01-28,2024-12-13,PO-74679,revolutionize robust experienc,,3278.0,150.34,54.35,0.0,,,00,1,1,200,,, 12,41214Y1241,,2,,,, 327408,
1000045,100315,2024-01-25,2024-03-10,2024-01-24,,matrix clicks-and-mortar infra,,6935.24,314.68,0.0,,,,00,1,1,200,,, 12,40125Y1240,,7,,,, 391622,
1000046,100332,2024-04-03,2024-05-03,2024-04-02,PO-14813,implement customized e-busines,,6657.72,546.01,0.0,,,,00,1,1,200,,, 12,40403Y1240,,7,,,, 995304,
1000047,100016,2024-01-20,2024-02-19,2024-01-18,,maximize open-source info-medi,,7002.97,586.86,0.0,,,,00,1,1,200,,, 12,40120Y1240,,3,,,, 740774,
1000048,100353,2024-10-30,2024-12-14,2024-10-25,PO-14697,visualize distributed synergie,,7223.62,429.78,17.74,,,,00,1,1,200,,, 12,41030Y1241,,1,,,, 905843,
1000049,100162,2023-08-13,2023-09-12,2023-08-11,,morph 24/7 communities,,781.08,70.1,75.84,,,,00,1,1,200,,, 12,30813Y1230,,1,,,, 445200,
1000050,100279,2024-04-24,2024-06-08,2024-04-19,PO-92441,syndicate turn-key interfaces,,4723.82,99.13,0.0,,,,00,1,1,200,,, 12,40424Y1240,,5,,,, 191928,
1000051,100256,2023-12-24,2024-01-08,2023-12-21,,aggregate frictionless partner,,751.67,45.46,70.68,,,,00,1,1,200,,, 12,31224Y1231,,6,,,, 753518,
1000052,100190,2023-02-15,2023-03-17,2023-02-10,,deploy e-business networks,,1868.79,114.8,0.0,0.0,,,00,1,1,200,,, 12,30215Y1230,,7,,,, 302957,
1000053,100000,2023-02-02,2023-02-17,2023-01-28,PO-64269,scale open-source e-business,,412.77,19.19,73.75,,,,00,1,1,200,,, 12,30202Y1230,,7,,,, 450006,
1000054,100188,2024-06-11,2024-07-11,2024-06-08,,benchmark 24/365 deliverables,,1208.75,77.06,0.0,,,,00,1,1,200,,, 12,40611Y1240,,9,,,, 422722,
1000055,100162,2023-01-30,2023-03-01,2023-01-25,PO-33020,monetize viral technologies,,1112.04,36.02,0.0,0.0,,,00,1,1,200,,, 12,30130Y1230,,9,,,, 446569,
1000056,100442,2024-09-10,2024-10-10,2024-09-06,,envisioneer clicks-and-mortar,,808.29,54.36,79.73,,,,00,1,1,200,,, 12,40910Y1240,,1,,,, 663051,
1000057,100475,2024-07-01,2024-08-30,2024-06-28,PO-12453,incubate next-generation chann,,20079.93,1574.24,0.0,0.0,,,00,1,1,200,,, 12,40701Y1240,,1,,,, 705445,
1000058,100365,2023-02-17,2023-03-19,2023-02-16,PO-59183,matrix clicks-and-mortar info-,,797.09,73.03,6.62,,,,00,1,1,200,,, 12,30217Y1230,2017-12-31,1,,,, 660226,
1000059,100447,2024-07-06,2024-08-05,2024-07-03,PO-51222,optimize collaborative functio,,2493.73,151.04,0.0,,,,00,1,1,200,,, 12,40706Y1240,,7,,,, 133164,
1000060,100148,2024-02-11,2024-03-27,2024-02-08,,revolutionize synergistic infr,,4724.83,234.85,0.0,,,,00,1,1,200,,, 12,40211Y1240,,7,,,, 283514,
1000061,100059,2024-04-24,2024-05-24,2024-04-19,,cultivate cross-media infrastr,,4367.94,16.33,0.0,,,,00,1,1,200,,, 12,40424Y1240,,6,,,, 624344,
1000062,100082,2024-12-10,2025-02-08,2024-12-07,,integrate intuitive schemas,,13559.53,1252.41,52.36,0.0,,,00,1,1,200,,, 12,41210Y1241,,2,,,, 962074,
1000063,100499,2023-09-09,2023-10-09,2023-09-05,PO-78464,incubate strategic platforms,,5645.32,560.42,0.0,,,,00,1,1,200,,, 12,30909Y1230,,2,,,, 104309,
1000064,100168,2023-07-10,2023-08-09,2023-07-06,PO-23513,unleash impactful web services,,9391.04,645.21,0.0,,,,00,1,1,200,,, 12,30710Y1230,,1,,,, 903398,
1000065,100352,2023-03-27,2023-04-11,2023-03-25,,strategize scalable experience,,1542.0,3.47,63.89,,,,00,1,1,200,,, 12,30327Y1230,,2,,,, 658131,
1000066,100172,2023-02-06,2023-03-08,2023-02-05,,implement interactive synergie,,39775.42,2669.42,0.0,,,,00,1,1,200,,, 12,30206Y1230,,6,,,, 686810,
1000067,100272,2023-08-16,2023-09-30,2023-08-13,PO-32449,incubate efficient web-readine,,1921.38,104.24,0.0,,,,00,1,1,200,,, 12,30816Y1230,,2,,,, 426503,
1000068,100328,2024-11-04,2024-12-19,2024-11-03,,unleash B2C ROI,,45150.94,2440.76,0.0,,,,00,1,1,200,,, 12,41104Y1241,,1,1981-02-03,,, 190302,
1000069,100227,2024-05-12,2024-06-26,2024-05-09,PO-97932,benchmark enterprise interface,,4527.25,319.03,62.95,0.0,,,00,1,1,200,,, 12,40512Y1240,,1,,,, 182361,
1000070,100491,2024-06-23,2024-07-08,2024-06-19,PO-94465,integrate web-enabled mindshar,,1560.34,72.66,0.0,0.0,,,00,1,1,200,,, 12,40623Y1240,,9,,,, 903726,
1000071,100247,2024-02-09,2024-02-24,2024-02-07,PO-97186,innovate efficient functionali,,1046.98,99.2,0.0,0.0,,,00,1,1,200,,, 12,40209Y1240,,2,,,, 927094,
1000072,100456,2024-04-26,2024-05-26,2024-04-23,PO-32387,incubate value-added eyeballs,,1788.33,81.06,0.0,,,,00,1,1,200,,, 12,40426Y1240,,8,,,, 905245,
1000073,100187,2024-05-24,2024-06-23,2024-05-23,PO-79828,evolve enterprise technologies,,1287.99,16.41,0.0,0.0,,,00,1,1,200,,, 12,40524Y1240,,0,,,, 520286,
1000074,100316,2023-05-31,2023-06-30,2023-05-26,PO-67062,architect web-enabled supply-c,,4720.98,293.11,0.0,0.0,,,00,1,1,200,,, 12,30531Y1230,,7,,,, 925571,
1000075,100184,2023-02-10,2023-03-12,2023-02-05,PO-24984,aggregate plug-and-play conten,,1180.15,27.87,0.0,,,,00,1,1,200,,, 12,30210Y1230,2010-12-30,8,,,, 725030,
1000076,100246,2024-10-24,2024-12-08,2024-10-20,,productize scalable e-commerce,,3928.4,38.36,0.0,,,,00,1,1,200,,, 12,41024Y1241,,1,,,, 818807,
1000077,100432,2024-12-05,2025-01-04,2024-12-04,,engage compelling paradigms,,1273.53,104.41,0.0,0.0,,,00,1,1,200,,, 12,41205Y1241,,2,2000-10-23,,, 708979,
1000078,100479,2024-05-11,2024-05-26,2024-05-08,PO-85750,embrace e-business users,,1558.98,126.25,66.09,,,,00,1,1,200,,, 12,40511Y1240,,1,,,, 305171,
1000079,100110,2024-04-04,2024-05-04,2024-03-31,PO-55123,envisioneer magnetic infrastru,,7133.65,225.85,0.0,0.0,,,00,1,1,200,,, 12,40404Y1240,,4,2081-04-03,,, 711033,
1000080,100004,2024-10-26,2024-11-25,2024-10-21,PO-10110,exploit integrated architectur,,650.34,33.19,85.25,,,,00,1,1,200,,, 12,41026Y1241,,1,,,, 687234,
1000081,100436,2023-07-21,2023-08-20,2023-07-17,PO-61677,facilitate scalable supply-cha,,9808.27,107.6,0.0,,,,00,1,1,200,,, 12,30721Y1230,2021-12-31,0,,,, 433580,
1000082,100379,2023-05-17,2023-07-01,2023-05-13,PO-57223,embrace one-to-one metrics,,4445.11,169.61,0.0,0.0,,,00,1,1,200,,, 12,30517Y1230,,6,,,, 261760,
1000083,100156,2024-12-26,2025-01-25,2024-12-25,PO-28873,exploit granular eyeballs,,1995.42,133.71,0.0,0.0,,,00,1,1,200,,, 12,41226Y1241,,2,,,, 610343,
1000084,100351,2024-10-22,2024-12-21,2024-10-18,PO-89223,innovate clicks-and-mortar inf,,24653.08,2441.19,0.0,,,,00,1,1,200,,, 12,41022Y1241,,1,,,, 753523,
1000085,100096,2024-06-03,2024-07-03,2024-05-30,PO-85751,envisioneer compelling markets,,1017.91,43.17,38.47,,,,00,1,1,200,,, 12,40603Y1240,,2,,,, 987938,
1000086,100389,2024-05-10,2024-06-24,2024-05-07,,enable 24/365 infrastructures,,3130.75,157.08,0.0,,,,00,1,1,200,,, 12,40510Y1240,,8,,,, 695748,
1000087,100256,2023-10-12,2023-10-27,2023-10-07,PO-46624,optimize cross-platform action,,734.39,8.31,0.0,,,,00,1,1,200,,, 12,31012Y1231,,6,,,, 642060,
1000088,100042,2024-08-01,2024-08-16,2024-07-31,PO-80673,exploit integrated e-markets,,1142.04,69.67,0.0,,,,00,1,1,200,,, 12,40801Y1240,,8,,,, 427679,
1000089,100328,2023-07-01,2023-08-15,2023-06-27,PO-53452,scale enterprise synergies,,7374.84,253.36,46.89,,,,00,1,1,200,,, 12,30701Y1230,,1,,,, 470057,
1000090,100424,2023-04-11,2023-05-11,2023-04-08,PO-83886,synergize intuitive users,,730.31,12.23,0.0,,,,00,1,1,200,,, 12,30411Y1230,2011-12-31,0,,,, 164401,
1000091,100337,2023-12-21,2024-01-20,2023-12-18,PO-26622,engage customized synergies,,525.84,8.89,0.0,0.0,,,00,1,1,200,,, 12,31221Y1231,,3,,,, 180595,
1000092,100451,2023-10-20,2023-11-04,2023-10-17,,facilitate scalable interfaces,,805.39,20.3,0.0,,,,00,1,1,200,,, 12,31020Y1231,,1,,,, 733152,
1000093,100093,2023-06-24,2023-07-09,2023-06-22,,e-enable value-added relations,,919.12,67.92,0.0,,,,00,1,1,200,,, 12,30624Y1230,2024-12-30,7,,,, 347669,
1000094,100257,2024-10-09,2024-11-08,2024-10-07,PO-64125,evolve cutting-edge niches,,525.46,27.71,0.0,0.0,,,00,1,1,200,,, 12,41009Y1241,,2,2072-11-04,,, 349505,
1000095,100353,2024-03-05,2024-04-19,2024-03-04,,implement killer applications,,4961.67,316.34,0.0,0.0,,,00,1,1,200,,, 12,40305Y1240,,3,2081-10-13,,, 518114,
1000096,100252,2023-05-01,2023-05-31,2023-04-27,PO-29025,exploit web-enabled functional,,3712.3,276.99,53.25,,,,00,1,1,200,,, 12,30501Y1230,2001-12-30,5,,,, 555851,
1000097,100006,2023-01-18,2023-02-02,2023-01-13,PO-15376,morph cross-platform communiti,,719.83,57.39,0.0,,,,00,1,1,200,,, 12,30118Y1230,,5,,,, 657101,
1000098,100341,2023-12-02,2023-12-17,2023-12-01,,disintermediate plug-and-play,,418.45,35.33,0.0,0.0,,,00,1,1,200,,, 12,31202Y1231,,4,,,, 510154,
1000099,100245,2024-02-24,2024-03-25,2024-02-21,PO-33582,transition viral interfaces,,795.84,59.62,58.87,,,,00,1,1,200,,, 12,40224Y1240,,3,,,, 674213,
1000100,100005,2024-01-25,2024-03-10,2024-01-24,PO-56073,integrate global bandwidth,,7055.22,586.78,0.0,,,,00,1,1,200,,, 12,40125Y1240,,5,,,, 860480,
1000101,100154,2023-12-26,2024-01-25,2023-12-21,PO-38419,envisioneer world-class portal,,326.71,1.11,0.0,,,,00,1,1,200,,, 12,31226Y1231,,0,,,, 769078,
1000102,100064,2024-03-07,2024-04-06,2024-03-05,PO-34151,enable revolutionary vortals,,1474.54,17.69,12.99,0.0,,,00,1,1,200,,, 12,40307Y1240,,5,,,, 408877,
1000103,100248,2024-03-17,2024-05-01,2024-03-14,,scale front-end supply-chains,,6944.3,52.58,0.0,0.0,,,00,1,1,200,,, 12,40317Y1240,,5,,,, 390756,
1000104,100413,2024-02-11,2024-03-12,2024-02-09,PO-33388,whiteboard 24/7 schemas,,1561.49,60.68,25.82,0.0,,,00,1,1,200,,, 12,40211Y1240,,8,,,, 615959,
1000105,100057,2023-09-13,2023-10-13,2023-09-09,PO-23538,architect front-end technologi,,458.97,35.28,0.0,,,,00,1,1,200,,, 12,30913Y1230,,9,,,, 176461,
1000106,100037,2023-10-24,2023-12-08,2023-10-23,PO-97111,cultivate frictionless metrics,,6142.1,153.92,0.0,,,,00,1,1,200,,, 12,31024Y1231,,0,,,, 379378,
1000107,100081,2023-04-01,2023-05-01,2023-03-28,PO-62941,re-intermediate rich markets,,1460.1,132.08,0.0,,,,00,1,1,200,,, 12,30401Y1230,2001-12-31,0,,,, 918871,
1000108,100431,2023-01-09,2023-02-08,2023-01-04,PO-57044,exploit transparent platforms,,8068.44,435.8,0.0,0.0,,,00,1,1,200,,, 12,30109Y1230,,8,,,, 814956,
1000109,100164,2023-08-15,2023-09-29,2023-08-12,,brand proactive systems,,4605.53,291.2,9.07,,,,00,1,1,200,,, 12,30815Y1230,2015-12-30,8,,,, 897392,
1000110,100408,2024-04-12,2024-05-12,2024-04-08,PO-92656,engineer next-generation inter,,721.93,14.66,0.0,0.0,,,00,1,1,200,,, 12,40412Y1240,,4,,,, 476712,
1000111,100258,2024-08-06,2024-09-05,2024-08-01,,optimize bricks-and-clicks min,,1763.76,111.61,13.99,,,,00,1,1,200,,, 12,40806Y1240,,9,,,, 166052,
1000112,100421,2024-11-28,2024-12-28,2024-11-27,PO-54265,innovate clicks-and-mortar par,,1172.99,36.1,0.0,0.0,,,00,1,1,200,,, 12,41128Y1241,,2,,,, 144894,
1000113,100216,2024-04-08,2024-05-08,2024-04-03,,evolve cutting-edge models,,10318.42,832.8,0.0,,,,00,1,1,200,,, 12,40408Y1240,,1,,,, 344303,
1000114,100492,2023-02-09,2023-03-11,2023-02-04,,mesh visionary networks,,1648.3,121.23,0.0,,,,00,1,1,200,,, 12,30209Y1230,2009-12-30,3,2031-10-31,,, 780301,
1000115,100069,2023-07-06,2023-08-05,2023-07-01,,optimize best-of-breed action-,,225.86,14.29,82.07,,,,00,1,1,200,,, 12,30706Y1230,,5,,,, 167064,
1000116,100434,2024-02-19,2024-03-05,2024-02-18,PO-65864,streamline enterprise portals,,1671.45,19.08,0.0,,,,00,1,1,200,,, 12,40219Y1240,,0,,,, 950941,
1000117,100443,2023-03-12,2023-04-26,2023-03-10,PO-87736,exploit turn-key bandwidth,,9839.73,667.53,0.0,0.0,,,00,1,1,200,,, 12,30312Y1230,,3,,,, 451801,
1000118,100033,2023-12-02,2023-12-17,2023-11-27,,maximize strategic experiences,,417.34,5.89,0.0,0.0,,,00,1,1,200,,, 12,31202Y1231,,2,,,, 929478,
1000119,100449,2024-01-24,2024-02-08,2024-01-22,PO-95426,brand seamless interfaces,,1337.95,50.32,0.0,,,,00,1,1,200,,, 12,40124Y1240,,8,,,, 397514,
1000120,100222,2023-10-11,2023-11-25,2023-10-09,PO-78562,embrace web-enabled solutions,,36207.66,2868.52,0.0,,,,00,1,1,200,,, 12,31011Y1231,,1,,,, 532046,
1000121,100129,2023-12-28,2024-02-11,2023-12-24,PO-21537,whiteboard ubiquitous interfac,,47214.03,2882.6,0.0,,,,00,1,1,200,,, 12,31228Y1231,,7,,,, 966630,
1000122,100416,2024-05-16,2024-06-30,2024-05-11,PO-91123,streamline viral action-items,,3710.8,155.4,0.0,,,,00,1,1,200,,, 12,40516Y1240,,2,,,, 898100,
1000123,100286,2024-09-10,2024-09-25,2024-09-09,,exploit e-business users,,1113.57,51.69,0.0,,,,00,1,1,200,,, 12,40910Y1240,,0,,,, 818530,
1000124,100448,2024-08-11,2024-09-10,2024-08-08,,transform viral communities,,9717.16,460.99,0.0,,,,00,1,1,200,,, 12,40811Y1240,,8,,,, 363592,
1000125,100180,2023-12-23,2024-01-22,2023-12-22,PO-33053,architect dynamic eyeballs,,1310.27,116.62,0.0,,,,00,1,1,200,,, 12,31223Y1231,,9,,,, 923648,
1000126,100014,2023-12-16,2024-01-15,2023-12-13,PO-98716,generate global e-tailers,,5365.55,62.28,72.14,,,,00,1,1,200,,, 12,31216Y1231,,7,,,, 341238,
1000127,100414,2023-07-31,2023-09-14,2023-07-29,PO-38922,integrate viral schemas,,9955.98,226.78,0.0,,,,00,1,1,200,,, 12,30731Y1230,,1,,,, 593869,
1000128,100313,2024-07-11,2024-08-25,2024-07-09,PO-35448,transition impactful bandwidth,,26798.35,2386.36,0.0,0.0,,,00,1,1,200,,, 12,40711Y1240,,9,,,, 476009,
1000129,100147,2024-04-21,2024-05-21,2024-04-19,,morph frictionless systems,,563.98,7.17,0.0,,,,00,1,1,200,,, 12,40421Y1240,,8,,,, 580854,
1000130,100223,2024-11-12,2024-12-12,2024-11-10,PO-82450,leverage magnetic users,,508.16,17.46,60.36,0.0,,,00,1,1,200,,, 12,41112Y1241,,2,,,, 190674,
1000131,100219,2023-02-04,2023-03-21,2023-02-02,,incentivize viral web-readines,,43563.82,2131.2,59.16,0.0,,,00,1,1,200,,, 12,30204Y1230,,3,,,, 707615,
1000132,100119,2024-12-24,2025-01-23,2024-12-19,PO-64758,optimize cutting-edge e-busine,,1805.28,106.83,0.0,0.0,,,00,1,1,200,,, 12,41224Y1241,,2,,,, 142004,
1000133,100249,2023-05-08,2023-06-07,2023-05-07,PO-41524,empower distributed channels,,1520.26,76.65,0.0,,,,00,1,1,200,,, 12,30508Y1230,2008-12-30,9,,,, 685616,
1000134,100400,2024-04-26,2024-05-11,2024-04-25,,expedite B2C metrics,,222.36,16.27,13.27,,,,00,1,1,200,,, 12,40426Y1240,,4,,,, 419644,
1000135,100086,2023-08-30,2023-10-14,2023-08-28,PO-63131,harness strategic supply-chain,,7329.74,628.83,2.44,,,,00,1,1,200,,, 12,30830Y1230,,0,,,, 928226,
1000136,100462,2023-04-03,2023-04-18,2023-03-31,PO-48874,synergize leading-edge systems,,433.38,20.12,0.0,,,,00,1,1,200,,, 12,30403Y1230,2003-12-31,0,,,, 889460,
1000137,100147,2024-03-20,2024-04-19,2024-03-19,PO-54000,optimize 24/365 schemas,,1456.5,89.21,0.0,,,,00,1,1,200,,, 12,40320Y1240,,2,,,, 157474,
1000138,100272,2023-01-03,2023-02-17,2022-12-29,,e-enable impactful technologie,,9507.9,641.45,11.1,,,,00,1,1,200,,, 12,30103Y1230,,2,,,, 283781,
1000139,100346,2023-04-23,2023-05-23,2023-04-19,PO-86037,revolutionize user-centric fun,,1205.82,8.08,20.47,0.0,,,00,1,1,200,,, 12,30423Y1230,,7,,,, 319984,
1000140,100400,2023-04-04,2023-04-19,2023-03-31,,grow plug-and-play bandwidth,,1541.03,34.74,0.0,,,,00,1,1,200,,, 12,30404Y1230,2004-12-30,8,,,, 490923,
1000141,100185,2023-10-30,2023-11-29,2023-10-25,PO-69241,drive robust interfaces,,1014.34,50.86,47.02,,,,00,1,1,200,,, 12,31030Y1231,,4,,,, 486028,
1000142,100425,2023-12-16,2023-12-31,2023-12-12,,re-contextualize visionary syn,,1411.95,97.88,88.31,,,,00,1,1,200,,, 12,31216Y1231,,3,,,, 287497,
1000143,100156,2023-06-23,2023-07-23,2023-06-21,PO-36772,exploit robust supply-chains,,1924.86,14.81,0.0,,,,00,1,1,200,,, 12,30623Y1230,,5,,,, 757746,
1000144,100011,2024-01-03,2024-02-02,2023-12-31,PO-94500,monetize global functionalitie,,727.7,70.56,0.0,,,,00,1,1,200,,, 12,40103Y1240,,4,,,, 405677,
1000145,100101,2023-01-28,2023-02-27,2023-01-25,PO-52769,syndicate seamless markets,,313.31,27.31,0.0,0.0,,,00,1,1,200,,, 12,30128Y1230,2028-12-30,4,,,, 722180,
1000146,100355,2023-01-14,2023-02-13,2023-01-12,PO-50172,visualize user-centric info-me,,7271.77,612.22,0.0,,,,00,1,1,200,,, 12,30114Y1230,,7,,,, 927607,
